text,audio
"في الحديقة, los niños يلعبون mientras こどもたちが遊んでいます。","{'bytes': None, 'path': 'audiosamples/audio_0.wav'}"
"التعاون بين الدول важный для развития, et l'échange culturel est enrichissant, 同时促进了全球理解。","{'bytes': None, 'path': 'audiosamples/audio_1.wav'}"
بهروز (Urdu for happy) живет (Russian for lives) di sebuah pulau (Indonesian for on an island) جميلة (Arabic for beautiful).,"{'bytes': None, 'path': 'audiosamples/audio_2.wav'}"
"Guten Tag, como você está? أنا بخير, ধন্যবাদ।","{'bytes': None, 'path': 'audiosamples/audio_3.wav'}"
"أحب أن أسافر إلى تركيا والبرازيل لاستكشاف الثقافات المتنوعة ve deniz ürünleri yemek, além de aprender sobre a história local.","{'bytes': None, 'path': 'audiosamples/audio_4.wav'}"
میں انڈونیشیا جانا چاهتا ہوں لتتعلم اللغة العربية وأستمتع بالثقافة الغنية - Saya ingin pergi ke Indonesia untuk belajar bahasa Arab dan menikmati kebudayaan yang kaya.,"{'bytes': None, 'path': 'audiosamples/audio_5.wav'}"
रीमा का बाग़ बहुत ही ख़ूबसूरत है; वहाँ रोज़ाना परिंदे अस-सलام गाने आते हैं।,"{'bytes': None, 'path': 'audiosamples/audio_6.wav'}"
Le chat (French) dijo (Spanish) أين (Arabic) 猫 (Japanese).,"{'bytes': None, 'path': 'audiosamples/audio_7.wav'}"
أنا yêu вас dan saya menghargai keragaman bahasa kita.,"{'bytes': None, 'path': 'audiosamples/audio_8.wav'}"
"كان الطقس باردًا в Москве, aber Hans fand es erfrischend.","{'bytes': None, 'path': 'audiosamples/audio_9.wav'}"
"Москва - город с большой историей, مدينة تتحدث عن ماضيها بكل فخر, donde la música fluye como el agua y रंगों का जादू हर किसी को मंत्रमुग्ध कर देता है।","{'bytes': None, 'path': 'audiosamples/audio_10.wav'}"
私の友達は「صديقي」で、我们学习不同的语言。,"{'bytes': None, 'path': 'audiosamples/audio_11.wav'}"
"Le livre 在书架上是一个宝贝，وهو جسر بين الثقافات, y nos enseña mucho.","{'bytes': None, 'path': 'audiosamples/audio_12.wav'}"
قرر محمد أن يذهب إلى المكتبة لاستعارة كتب في الفيزياء والكيمياء، لكنه توقف لشراء بعض المسالا والچائے من السوبر ماركت لأمه.,"{'bytes': None, 'path': 'audiosamples/audio_13.wav'}"
"寒い日ですね、şansınız bol olsun, يوم موفق لكم, espero que tengan éxito.","{'bytes': None, 'path': 'audiosamples/audio_14.wav'}"
"Cô ấy nói ""aku cinta kamu"" và ""あいしてる"" bằng một nụ cười rạng rỡ trong khi الشمس تشرق خلفها.","{'bytes': None, 'path': 'audiosamples/audio_15.wav'}"
پاکستان میں شام کا وقت خوبصورت ہوتا ہے، في العربية نسميه الشفق، ve Türkiye'de akşamın bu saati huzurludur.,"{'bytes': None, 'path': 'audiosamples/audio_16.wav'}"
"В Ханое я встретил человека, который говорил по-русски, وتحدثنا عن الأدب والثقافة, trong một quán cà phê rất yên tĩnh.","{'bytes': None, 'path': 'audiosamples/audio_17.wav'}"
"Le garçon a dit ""مرحبا"" en admirant ""pemandangan"" güzel devant lui.","{'bytes': None, 'path': 'audiosamples/audio_18.wav'}"
"Di masjid yang baru dibangun itu, الإمام sering mengajarkan kebaikan والصدقة kepada anak-anak sekolah.","{'bytes': None, 'path': 'audiosamples/audio_19.wav'}"
"أخبرني صديقي الياباني ""友達"" أن ""phở"" هو أفضل طعام فيتنامي، et je suis tout à fait d'accord.","{'bytes': None, 'path': 'audiosamples/audio_20.wav'}"
"তোমার সৌন্দর্য সত্যিই حَيْرَة, và tôi không thể ngừng ngắm nhìn.","{'bytes': None, 'path': 'audiosamples/audio_21.wav'}"
"তোমার সঙ্গে আলাপ খুব হোস গেল, seninle konuşmak harikaydı, معك الحديث كان رائعًا, và trò chuyện với bạn rất tuyệt.","{'bytes': None, 'path': 'audiosamples/audio_22.wav'}"
"أنا أحب القطط كثيرًا, me gustan mucho los gatos, 猫が大好きです, আমি বিড়াল পছন্দ করি।","{'bytes': None, 'path': 'audiosamples/audio_23.wav'}"
"Ketika saya di Paris, أحب أن أتعلم اللغة 日本語を話すことができます。","{'bytes': None, 'path': 'audiosamples/audio_24.wav'}"
أنا люблю читать Bücher und to improve my Sprachkenntnisse каждый день.,"{'bytes': None, 'path': 'audiosamples/audio_25.wav'}"
東京は素晴らしい都市です، وأنا أحب تعلم اللغات مثل الإسبانية بها.,"{'bytes': None, 'path': 'audiosamples/audio_26.wav'}"
मैंने आज सुबह القهوة के साथ 寿司 を 食べました。,"{'bytes': None, 'path': 'audiosamples/audio_27.wav'}"
"سافرت إلى بكين لأتعلم الكونغ فو، ووجدت نفسي مفتونًا بثقافة الشاي الصينية وحكمة كتاب التغيير ""إي جينغ"".","{'bytes': None, 'path': 'audiosamples/audio_28.wav'}"
"میرا نام John है, और میں आपकी मदद के لिए ہوں।","{'bytes': None, 'path': 'audiosamples/audio_29.wav'}"
"مرحباً, eu espero que a погода seja boa amanhã.","{'bytes': None, 'path': 'audiosamples/audio_30.wav'}"
